INVEST_DT,RPTV_ITM_NM,ITM_CD,ITM_NM,GRADE_CD,G_NAME,UNIT_QTY,UNIT,MI_P,MA_P,AV_P,FLT_P,PAV_RATE,J_7_RATE,J_365_RATE
2025.02.17,감자,15200,감자,1,상,20,20kg상자,61000,75000,66558,-1453,"68,011(97.9%)","66,181(100.6%)","54,547(122%)"
2025.02.17,감자,15200,감자,2,보통,20,20kg상자,19000,61000,36733,3179,"33,554(109.5%)","37,717(97.4%)","30,661(119.8%)"
2025.02.17,감자,15200,감자,3,하,20,20kg상자,2000,19000,13341,-823,"14,164(94.2%)","16,467(81%)","19,819(67.3%)"
2025.02.18,감자,15200,감자,0,특,20,20kg상자,73000,79000,75764,-1572,"77,336(98%)","78,310(96.7%)","67,920(111.5%)"
2025.02.18,감자,15200,감자,1,상,20,20kg상자,62000,73000,66710,152,"66,558(100.2%)","67,068(99.5%)","54,547(122.3%)"
2025.02.18,감자,15200,감자,2,보통,20,20kg상자,23000,62000,39405,2672,"36,733(107.3%)","38,274(103%)","30,661(128.5%)"
2025.02.18,감자,15200,감자,3,하,20,20kg상자,4000,23000,13608,267,"13,341(102%)","16,074(84.7%)","19,819(68.7%)"
2025.02.19,감자,15200,감자,0,특,20,20kg상자,73000,75000,74775,-989,"75,764(98.7%)","78,344(95.4%)","67,000(111.6%)"
2025.02.19,감자,15200,감자,1,상,20,20kg상자,60000,73000,65019,-1691,"66,710(97.5%)","66,877(97.2%)","62,410(104.2%)"
2025.02.19,감자,15200,감자,2,보통,20,20kg상자,29000,60000,41098,1693,"39,405(104.3%)","37,448(109.7%)","43,535(94.4%)"
2025.02.19,감자,15200,감자,3,하,20,20kg상자,1000,29000,16240,2632,"13,608(119.3%)","14,850(109.4%)","23,469(69.2%)"
2025.02.20,감자,15200,감자,0,특,20,20kg상자,67000,70000,67729,-7046,"74,775(90.6%)","77,749(87.1%)","66,525(101.8%)"
2025.02.20,감자,15200,감자,1,상,20,20kg상자,39500,67000,57785,-7234,"65,019(88.9%)","66,568(86.8%)","59,164(97.7%)"
2025.02.20,감자,15200,감자,2,보통,20,20kg상자,16000,39500,26400,-14698,"41,098(64.2%)","38,056(69.4%)","39,412(67%)"
2025.02.20,감자,15200,감자,3,하,20,20kg상자,1000,16000,10978,-5262,"16,240(67.6%)","15,082(72.8%)","22,263(49.3%)"
