INVEST_DT,RPTV_ITM_NM,ITM_CD,ITM_NM,GRADE_CD,G_NAME,UNIT_QTY,UNIT,MI_P,MA_P,AV_P,FLT_P,PAV_RATE,J_7_RATE,J_365_RATE
2020.03.10,감자,15200,감자,0,특,20,20kg상자,58000,67000,63704,-2736,"66,440(95.9%)","70,630(90.2%)","61,253(104%)"
2020.03.10,감자,15200,감자,1,상,20,20kg상자,15000,58000,27013,-11049,"38,062(71%)","39,184(68.9%)","48,139(56.1%)"
2020.03.10,감자,15200,감자,2,보통,20,20kg상자,6500,15000,10460,-1591,"12,051(86.8%)","12,293(85.1%)","17,815(58.7%)"
2020.03.10,감자,15200,감자,3,하,20,20kg상자,500,6500,5057,-643,"5,700(88.7%)","5,682(89%)","7,909(63.9%)"
2020.03.11,감자,15200,감자,0,특,20,20kg상자,57000,72000,65814,2110,"63,704(103.3%)","68,063(96.7%)","69,833(94.2%)"
2020.03.11,감자,15200,감자,1,상,20,20kg상자,15500,57000,24580,-2433,"27,013(91%)","37,921(64.8%)","56,218(43.7%)"
2020.03.11,감자,15200,감자,2,보통,20,20kg상자,6500,15500,11401,941,"10,460(109%)","12,277(92.9%)","20,047(56.9%)"
2020.03.11,감자,15200,감자,3,하,20,20kg상자,500,6500,5378,321,"5,057(106.3%)","5,830(92.2%)","9,733(55.3%)"
2020.03.12,감자,15200,감자,0,특,20,20kg상자,63000,76000,70372,4558,"65,814(106.9%)","66,003(106.6%)","72,381(97.2%)"
2020.03.12,감자,15200,감자,1,상,20,20kg상자,16000,63000,29252,4672,"24,580(119%)","33,090(88.4%)","57,459(50.9%)"
2020.03.12,감자,15200,감자,2,보통,20,20kg상자,7000,16000,11547,146,"11,401(101.3%)","11,897(97.1%)","20,543(56.2%)"
2020.03.12,감자,15200,감자,3,하,20,20kg상자,1500,7000,4902,-476,"5,378(91.1%)","5,789(84.7%)","8,296(59.1%)"
2020.03.13,감자,15200,감자,0,특,20,20kg상자,73000,74000,73579,3207,"70,372(104.6%)","66,639(110.4%)","73,209(100.5%)"
2020.03.13,감자,15200,감자,1,상,20,20kg상자,19000,73000,45971,16719,"29,252(157.2%)","31,688(145.1%)","56,469(81.4%)"
2020.03.13,감자,15200,감자,2,보통,20,20kg상자,8500,19000,14070,2523,"11,547(121.8%)","11,552(121.8%)","21,521(65.4%)"
